"sku","name","category_name","item_type","description","strength","dosage_form","uom_abbreviation","is_batch_tracked","is_expiry_tracked","is_cold_chain","is_hazardous","is_essential","is_controlled","is_asset","replenishment_type","valuation_method","manufacturers","source"
"DRUG-acemetacin-0001","Acemetacin","Analgesics & Anti-inflammatory","drug","Acemetacin | (60 mg) | Dosage: Capsule | Mfr: Orion Pharma Ltd.","60 mg","Capsule","EA","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","min_max","fifo","Orion Pharma Ltd.","medex.com.bd"
"DRUG-acetate-formulation-hemodialysis-solutio-0002","Acetate Formulation [Hemodialysis Solution]","Renal & Dialysis","drug","Acetate Formulation [Hemodialysis Solution] | Dosage: Dialysis Solution | Mfr: Popular Pharmaceuticals Ltd.","","Dialysis Solution","EA","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","min_max","fifo","Popular Pharmaceuticals Ltd.","medex.com.bd"
"DRUG-acetazolamide-0003","Acetazolamide","Cardiovascular","drug","Acetazolamide | (250 mg) | Dosage: Tablet | Mfr: ACME Laboratories Ltd., Reman Drug Laboratories Ltd.","250 mg","Tablet","EA","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","min_max","fifo","ACME Laboratories Ltd.; Reman Drug Laboratories Ltd.","medex.com.bd"
"DRUG-acetylcysteine-0004","Acetylcysteine","Respiratory","drug","Acetylcysteine | (100 mg/sachet, 600 mg, Beximco Pharmaceuticals Ltd.) | Dosage: 600 Mg, 600 Mg/3 Ml, Dispersible Tablet | Mfr: Alytus, Effervescent Granules","100 mg/sachet; 600 mg; Beximco Pharmaceuticals Ltd.; Drug International Ltd.; Healthcare Pharmaceuticals Ltd.; Opsonin Pharma Ltd.; Tylace; Viscotin","600 Mg; 600 Mg/3 Ml; Dispersible Tablet; Effervescent Granules; Effervescent Tablet; Nipro Jmi Pharma Ltd.; Square Pharmaceuticals Plc; Unimed Unihealth Pharmaceuticals Ltd.","EA","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","min_max","fifo","Alytus; Effervescent Granules; Effervescent Tablet; Eskayef Pharmaceuticals Ltd.; Mucomist; Mucomist DT; Mukof; Nacsol; Nebuliser Solution; Opsonin Pharma Ltd.","medex.com.bd"
"DRUG-acidic-component-hco3-hemodialysis-solut-0005","Acidic component [HCO3 Hemodialysis Solution]","Renal & Dialysis","drug","Acidic component [HCO3 Hemodialysis Solution] | (Greenland Pharmaceuticals Ltd., Labaid Pharma Ltd.) | Dosage: Dialysis Solution | Mfr: Gonoshasthaya Pharma Ltd., Popular Pharmaceuticals Ltd.","Greenland Pharmaceuticals Ltd.; Labaid Pharma Ltd.","Dialysis Solution","EA","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","min_max","fifo","Gonoshasthaya Pharma Ltd.; Popular Pharmaceuticals Ltd.; Renalaid-A; Square Pharmaceuticals PLC","medex.com.bd"
"DRUG-acitretin-0006","Acitretin","Dermatologicals","drug","Acitretin | (10 mg, 25 mg, ACI Limited) | Dosage: 10 Mg, 25 Mg, Capsule | Mfr: ACI Limited, Soritin","10 mg; 25 mg; ACI Limited; Opsonin Pharma Ltd.","10 Mg; 25 Mg; Capsule","EA","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","min_max","fifo","ACI Limited; Soritin; UniMed UniHealth Pharmaceuticals Ltd.","medex.com.bd"
"DRUG-aclidinium-bromide-formoterol-fumarate-0007","Aclidinium Bromide + Formoterol Fumarate","Respiratory","drug","Aclidinium Bromide + Formoterol Fumarate | (400 mcg+12 mcg) | Dosage: Dry Powder Inhalation Capsule (Dpi) | Mfr: Square Pharmaceuticals PLC","400 mcg+12 mcg","Dry Powder Inhalation Capsule (Dpi)","EA","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","min_max","fifo","Square Pharmaceuticals PLC","medex.com.bd"
"DRUG-activated-charcoal-0008","Activated Charcoal","Antidotes & Antivenoms","drug","Activated Charcoal | (500 mg) | Dosage: Capsule | Mfr: Total Herbal & Nutraceuticals","500 mg","Capsule","EA","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","min_max","fifo","Total Herbal & Nutraceuticals","medex.com.bd"
"DRUG-acyclovir-injection-0009","Acyclovir (Injection)","Antivirals","drug","Acyclovir (Injection) | (250 mg/vial, 500 mg/vial, Ibn Sina Pharmaceuticals Ltd.) | Dosage: 1 Gm/Vial, 250 Mg/Vial, 500 Mg/Vial | Mfr: Aristopharma Ltd., Clovir","250 mg/vial; 500 mg/vial; Ibn Sina Pharmaceuticals Ltd.; Incepta Pharmaceuticals Ltd.; Virunil; Virux; Xovir","1 Gm/Vial; 250 Mg/Vial; 500 Mg/Vial; Beacon Pharmaceuticals Plc; Globe Pharmaceuticals Ltd.; IV Infusion; Square Pharmaceuticals Plc","EA","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","min_max","fifo","Aristopharma Ltd.; Clovir; IV Infusion; Opsonin Pharma Ltd.; Simplovir; Virunil","medex.com.bd"
"DRUG-acyclovir-ophthalmic-0010","Acyclovir (Ophthalmic)","Antivirals","drug","Acyclovir (Ophthalmic) | (0.03, Biopharma Limited, General Pharmaceuticals Ltd.) | Dosage: 0.03, Ophthalmic Ointment, Zas Corporation | Mfr: Aristopharma Ltd., Cuvir","0.03; Biopharma Limited; General Pharmaceuticals Ltd.; Ibn Sina Pharmaceuticals Ltd.; Nipa Pharmaceuticals Ltd.; OSL Pharma Limited","0.03; Ophthalmic Ointment; Zas Corporation","EA","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","min_max","fifo","Aristopharma Ltd.; Cuvir; Cyclovex; Opsonin Pharma Ltd.; Optivir; Reman Drug Laboratories Ltd.; Virine; Virupos","medex.com.bd"
